merchant_id,name,category,price,quantity,type
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Kurkure Masala Munch 70g,Snack & Sips,20,250,Chips/Crisps
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Bingo Mad Angles 75g,Snack & Sips,20,200,Chips/Crisps
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Pringles Original 107g,Snack & Sips,105,100,Chips/Crisps
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Britannia Good Day 150g,Snack & Sips,40,200,Biscuits
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Parle-G Original 250g,Snack & Sips,20,300,Biscuits
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Oreo Vanilla 120g,Snack & Sips,35,180,Biscuits
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Hide & Seek 100g,Snack & Sips,38,150,Biscuits
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Haldirams Aloo Bhujia 200g,Snack & Sips,70,120,Namkeen
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Bikano Chana Chur 200g,Snack & Sips,55,100,Namkeen
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Balaji Ratlami Sev 100g,Snack & Sips,25,130,Namkeen
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Coca-Cola 750ml,Beverages,45,200,Cold Drinks
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Pepsi 600ml,Beverages,35,180,Cold Drinks
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Thums Up 750ml,Beverages,45,160,Cold Drinks
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Sprite 600ml,Beverages,35,170,Cold Drinks
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Maaza Mango 600ml,Beverages,40,150,Cold Drinks
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Red Bull 250ml,Beverages,120,100,Cold Drinks
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Real Mango Juice 1L,Beverages,110,90,Juices
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Tropicana Orange 1L,Beverages,120,80,Juices
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,B Natural Mixed Fruit 1L,Beverages,100,75,Juices
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Minute Maid Pulpy 400ml,Beverages,35,110,Juices
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Tata Tea Premium 500g,Beverages,230,70,Tea/Coffee
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Red Label Tea 250g,Beverages,130,80,Tea/Coffee
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Bru Instant Coffee 50g,Beverages,115,90,Tea/Coffee
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Nescafe Classic 50g,Beverages,200,65,Tea/Coffee
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Green Tea - Tulsi 25 bags,Beverages,120,60,Tea/Coffee
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Chicken Breast 500g,Meat & Seafood,200,50,Chicken
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Chicken Drumsticks 500g,Meat & Seafood,180,55,Chicken
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Whole Chicken 1kg,Meat & Seafood,300,30,Chicken
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Chicken Keema 500g,Meat & Seafood,190,40,Chicken
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Mutton Curry Cut 500g,Meat & Seafood,450,25,Mutton
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Mutton Keema 500g,Meat & Seafood,420,20,Mutton
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Mutton Leg Piece 500g,Meat & Seafood,500,15,Mutton
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Rohu Fish 500g,Meat & Seafood,220,40,Fish/Seafood
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Pomfret 500g,Meat & Seafood,350,30,Fish/Seafood
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Tiger Prawns 500g,Meat & Seafood,450,25,Fish/Seafood
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Surmai Fillet 500g,Meat & Seafood,380,20,Fish/Seafood
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Britannia Brown Bread 400g,Bakery,45,100,Breads
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Modern White Bread 400g,Bakery,38,120,Breads
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Harvest Gold Bread 400g,Bakery,42,110,Breads
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Multigrain Bread 300g,Bakery,60,80,Breads
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Garlic Bread Stick 150g,Bakery,80,60,Breads
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Chocolate Truffle Cake 500g,Bakery,350,20,Cakes/Muffins
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Vanilla Sponge Cake 400g,Bakery,280,25,Cakes/Muffins
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Blueberry Muffin 4 Pack,Bakery,120,40,Cakes/Muffins
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Chocolate Brownie 200g,Bakery,150,35,Cakes/Muffins
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Red Velvet Cup Cake 2 Pack,Bakery,180,30,Cakes/Muffins
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Pav Buns - 6 Pack,Bakery,30,150,Buns/Pav
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Burger Bun - 4 Pack,Bakery,40,120,Buns/Pav
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Hot Dog Bun - 4 Pack,Bakery,45,100,Buns/Pav
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Dinner Roll - 6 Pack,Bakery,55,90,Buns/Pav
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Ladyfinger - Okra 500g,Fresh Produce,40,95,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Coconut - Whole,Fresh Produce,45,60,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Ginger 100g,Fresh Produce,15,200,Herbs
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Garlic 100g,Fresh Produce,20,180,Herbs
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Green Chilli 100g,Fresh Produce,15,220,Vegetable
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Lemon 4 Pack,Fresh Produce,25,160,Fruit
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Amul Lassi Mango 200ml,Beverages,25,130,Cold Drinks
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Kwality Walls Cornetto,Snack & Sips,40,80,Chips/Crisps
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Monster Energy 500ml,Beverages,150,60,Cold Drinks
d3b07384-ad4b-47e3-bf77-0a371c6d37dc,Yoga Bar Oats Choco 38g,Snack & Sips,40,100,Biscuits
